compound_id	smiles
id_124	CCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_125	O=C(O)C(O)COP(=O)(O)O
id_126	O=C(OP(=O)(O)O)C(O)COP(=O)(O)O
id_127	O=C(O)C(=O)COP(=O)(O)O
id_128	O=C(O)C=Cc1cccc(O)c1
id_129	O=C(O)C(O)C(=O)C(O)C(O)COP(=O)(O)O
id_130	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)CC=CCC(=O)O
id_131	CC(=O)C(=O)C(O)CO
id_132	Nc1c(O)nc(O)nc1NCC(O)C(O)C(O)CO
id_133	CC(O)(CO)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O
id_134	Cc1ncc(COP(=O)(O)O)c(=N)[nH]1
id_135	Nc1ccc(C(=O)O)cc1
id_136	NCCCC=O
id_137	NCCCC(=O)O
id_138	CC(O)CC(=O)C(=O)O
id_139	O=C(O)c1ccc(O)cc1
id_140	CC(C)CC(=O)C(=O)O
id_141	Cc1ncsc1CCOP(=O)(O)O
id_142	O=C(O)C(O)C(O)COP(=O)(O)O
id_143	NC(CC(=O)OP(=O)(O)O)C(=O)O
id_144	C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O
id_145	CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
id_146	CC(O)C(O)C(O)C=O
id_147	N=c1nc(O)c2c([nH]1)NCC1C[N+](c3ccc(C(O)=NC(CCC(=O)O)C(=O)O)cc3)=CN21
id_148	N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21
id_149	N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
id_150	N=C(O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N
id_151	NCC(=O)CCC(=O)O
id_152	Nc1c(O)nc(O)nc1NCC(O)C(O)C(O)COP(=O)(O)O
id_153	Nc1c(O)nc(O)nc1NC1OC(COP(=O)(O)O)C(O)C1O
id_154	O=C(O)C(=O)CC(O)C(O)C(=O)O
id_155	O=C(O)C(O)C(O)C(O)C(=O)CO
id_156	NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N=CO
id_157	N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O
id_158	CN1c2c(O)nc(=N)[nH]c2NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
id_159	CSCC(O)C(O)C(O)C=O
id_160	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
id_161	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
id_162	O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O
id_163	NC1OC(COP(=O)(O)O)C(O)C1O
id_164	NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1NC=NCC(=O)C(O)C(O)COP(=O)(O)O
id_165	Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O
id_166	Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O
id_167	O=C(O)Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O
id_168	Cc1nc2c(O)nc(=O)nc-2n(CC(O)C(O)C(O)CO)c1C
id_169	O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O
id_170	N=c1nc(O)c2c([nH]1)NCC(CO)=N2
id_171	N=c1nc(O)c2c([nH]1)NCC(COP(=O)(O)OP(=O)(O)O)=N2
id_172	O=C1OC(COP(=O)(O)O)C(O)C(O)C1O
id_173	CC(N)C(N)CCCCCC(=O)O
id_174	N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)=N2
